chart_id,chart_type,level,repeat,condition,model_alias,question_id,question_kind,expected_answer,given_answer,exact_match,tolerance_match,parse_ok
line_level5_rep2,line,5,2,image,human,3,extremum,24. mérés,24,1,1,1
line_level5_rep3,line,5,3,image,human,1,exact_value,66.95,68,0,1,1
line_level5_rep3,line,5,3,image,human,2,difference,36.79,37,0,1,1
line_level5_rep3,line,5,3,image,human,3,extremum,22. mérés,22,1,1,1
line_level5_rep4,line,5,4,image,human,1,exact_value,67.15,68,0,1,1
line_level5_rep4,line,5,4,image,human,2,difference,1.43,1,0,0,1
line_level5_rep4,line,5,4,image,human,3,extremum,12. mérés,12,1,1,1
line_level5_rep5,line,5,5,image,human,1,exact_value,13.34,12,0,0,1
line_level5_rep5,line,5,5,image,human,2,difference,67.6,70,0,1,1
line_level5_rep5,line,5,5,image,human,3,extremum,19. mérés,19,1,1,1
scatter_level1_rep1,scatter,1,1,image,human,1,exact_value,56.0,57,0,1,1
scatter_level1_rep1,scatter,1,1,image,human,2,difference,25.0,24,0,1,1
scatter_level1_rep1,scatter,1,1,image,human,3,extremum,4,4,1,1,1
scatter_level1_rep2,scatter,1,2,image,human,1,exact_value,90.0,90,1,1,1
scatter_level1_rep2,scatter,1,2,image,human,2,difference,27.0,26,0,1,1
scatter_level1_rep2,scatter,1,2,image,human,3,extremum,2,2,1,1,1
scatter_level2_rep1,scatter,2,1,image,human,1,exact_value,50.0,50,1,1,1
scatter_level2_rep1,scatter,2,1,image,human,2,difference,45.0,46,0,1,1
scatter_level2_rep1,scatter,2,1,image,human,3,extremum,6,6,1,1,1
scatter_level2_rep2,scatter,2,2,image,human,1,exact_value,31.0,32,0,1,1
scatter_level2_rep2,scatter,2,2,image,human,2,difference,40.0,40,1,1,1
scatter_level2_rep2,scatter,2,2,image,human,3,extremum,6,6,1,1,1
scatter_level3_rep1,scatter,3,1,image,human,1,exact_value,80.7,81,0,1,1
scatter_level3_rep1,scatter,3,1,image,human,2,difference,8.2,9,0,0,1
scatter_level3_rep1,scatter,3,1,image,human,3,extremum,11,11,1,1,1
scatter_level3_rep2,scatter,3,2,image,human,1,exact_value,29.6,30,0,1,1
scatter_level3_rep2,scatter,3,2,image,human,2,difference,21.7,23,0,1,1
scatter_level3_rep2,scatter,3,2,image,human,3,extremum,4,4,1,1,1
scatter_level4_rep1,scatter,4,1,image,human,1,exact_value,12.63,37,0,0,1
scatter_level4_rep1,scatter,4,1,image,human,2,difference,61.41,28,0,0,1
scatter_level4_rep1,scatter,4,1,image,human,3,extremum,9,9,1,1,1
scatter_level4_rep2,scatter,4,2,image,human,1,exact_value,77.05,78,0,1,1
scatter_level4_rep2,scatter,4,2,image,human,2,difference,28.05,29,0,1,1
scatter_level4_rep2,scatter,4,2,image,human,3,extremum,5,5,1,1,1
scatter_level5_rep1,scatter,5,1,image,human,1,exact_value,26.37,27,0,1,1
scatter_level5_rep1,scatter,5,1,image,human,2,difference,59.84,61,0,1,1
scatter_level5_rep1,scatter,5,1,image,human,3,extremum,11,11,1,1,1
scatter_level5_rep2,scatter,5,2,image,human,1,exact_value,99.92,100,0,1,1
scatter_level5_rep2,scatter,5,2,image,human,2,difference,13.38,14,0,1,1
scatter_level5_rep2,scatter,5,2,image,human,3,extremum,2,2,1,1,1
scatter_level5_rep3,scatter,5,3,image,human,1,exact_value,17.84,18,0,1,1
scatter_level5_rep3,scatter,5,3,image,human,2,difference,46.86,47,0,1,1
scatter_level5_rep3,scatter,5,3,image,human,3,extremum,12,12,1,1,1
scatter_level5_rep4,scatter,5,4,image,human,1,exact_value,96.5,97,0,1,1
scatter_level5_rep4,scatter,5,4,image,human,2,difference,1.64,3,0,0,1
scatter_level5_rep4,scatter,5,4,image,human,3,extremum,17,17,1,1,1
scatter_level5_rep5,scatter,5,5,image,human,1,exact_value,25.96,27,0,1,1
scatter_level5_rep5,scatter,5,5,image,human,2,difference,39.76,39,0,1,1
scatter_level5_rep5,scatter,5,5,image,human,3,extremum,19,19,1,1,1
